Bi2201Gd041029nonannealed 	Bi2201Eu050201annealed 	Temperature 
2.802267 	0.110174 	103.796647 
2.801748 	0.109251 	104.298803 
2.800625 	0.109195 	104.799402 
2.799743 	0.110308 	105.299452 
2.798745 	0.110988 	105.819816 
2.797152 	0.110400 	106.338602 
2.794801 	0.109405 	106.856566 
2.793564 	0.111277 	107.373756 
2.792361 	0.112295 	107.888479 
2.792448 	0.116332 	108.402823 
2.791353 	0.114857 	108.915973 
2.790150 	0.117093 	109.427290 
2.789019 	0.119011 	109.938037 
2.788532 	0.118828 	110.447178 
2.788804 	0.118096 	110.954521 
2.788912 	0.119618 	111.461611 
2.788801 	0.118724 	111.966834 
2.787908 	0.122672 	112.470940 
2.787468 	0.121155 	112.974335 
2.787119 	0.121041 	113.476182 
2.786808 	0.121746 	113.976776 
2.786879 	0.124559 	114.496588 
2.786839 	0.123804 	115.015588 
2.787276 	0.123553 	115.533034 
2.786610 	0.120828 	116.049263 
2.785882 	0.121787 	116.565060 
2.784952 	0.126350 	117.078303 
2.783977 	0.126078 	117.591310 
2.783470 	0.127777 	118.107711 
2.783067 	0.128598 	118.612184 
2.783254 	0.128826 	119.120991 
2.782591 	0.125801 	119.628404 
2.782232 	0.125102 	120.135198 
2.781479 	0.124502 	120.640050 
2.780263 	0.126084 	121.143969 
2.780046 	0.126211 	121.646097 
2.779589 	0.123607 	122.147320 
2.779217 	0.124478 	122.647567 
2.779219 	0.125932 	123.166252 
2.779296 	0.123126 	123.683743 
2.779265 	0.123593 	124.200263 
2.778496 	0.126338 	124.714969 
2.777603 	0.123601 	125.228692 
2.776753 	0.124402 	125.740396 
2.776184 	0.123291 	126.252330 
2.775448 	0.123315 	126.761827 
2.774928 	0.124437 	127.270714 
2.774620 	0.125079 	127.778552 
2.775259 	0.125287 	128.284658 
2.775731 	0.123066 	128.789135 
2.776122 	0.126253 	129.292743 
2.775468 	0.125569 	129.794882 
2.775120 	0.124768 	130.296360 
2.775876 	0.122638 	130.796359 
2.775427 	0.122573 	131.314004 
2.775449 	0.117487 	131.830287 
2.775345 	0.118275 	132.345985 
2.775344 	0.117810 	132.859436 
2.773826 	0.117662 	133.372110 
2.773477 	0.116071 	133.883790 
2.773607 	0.114368 	134.393216 
2.773833 	0.113811 	134.902009 
2.773348 	0.114555 	135.410581 
2.773255 	0.114613 	135.915203 
2.775130 	0.114472 	136.420946 
2.774245 	0.112687 	136.923839 
2.773541 	0.113490 	137.425365 
2.773646 	0.113161 	137.925895 
2.774458 	0.113654 	138.443978 
2.774318 	0.118846 	138.960051 
2.780307 	0.118498 	139.474205 
2.780182 	0.117678 	139.987815 
2.780750 	0.116920 	140.499704 
2.780646 	0.117946 	141.010972 
2.780337 	0.117071 	141.519689 
2.779785 	0.119456 	142.027164 
2.780513 	0.120103 	142.533571 
2.779921 	0.121230 	143.037979 
2.780064 	0.120666 	143.541504 
2.780166 	0.117676 	144.042898 
2.780935 	0.119008 	144.544073 
2.780368 	0.120214 	145.060946 
2.780144 	0.120094 	145.575695 
2.780783 	0.121593 	146.090185 
2.782474 	0.121449 	146.601934 
2.783240 	0.118188 	147.112682 
2.784354 	0.118603 	147.621405 
2.785158 	0.117140 	148.129242 
2.785407 	0.118224 	148.635471 
