ch1+ 	 ch1- 	ch2+ 	 ch2- 	ch5+ 	 Temperature 
+3.51599782E-04 	 -3.47356225E-04 	+7.10802213E-06 	 -7.09023136E-06 	+1.19855647E+00 	 20.654566 
+3.51102358E-04 	 -3.46968911E-04 	+7.15678820E-06 	 -7.17278405E-06 	+1.19404309E+00 	 20.903221 
+3.50649619E-04 	 -3.46510945E-04 	+7.43653138E-06 	 -7.26881301E-06 	+1.18943651E+00 	 21.151313 
+3.50184906E-04 	 -3.46046741E-04 	+7.54975064E-06 	 -7.26197339E-06 	+1.18471052E+00 	 21.399592 
+3.49735596E-04 	 -3.45597892E-04 	+7.65252554E-06 	 -7.26871410E-06 	+1.17983196E+00 	 21.649166 
+3.49277819E-04 	 -3.45086561E-04 	+7.70400707E-06 	 -7.30732490E-06 	+1.17477312E+00 	 21.900855 
+3.48800164E-04 	 -3.44585978E-04 	+7.83835293E-06 	 -7.28329589E-06 	+1.16952311E+00 	 22.154728 
+3.48284619E-04 	 -3.44131977E-04 	+7.83824694E-06 	 -7.34342314E-06 	+1.16411670E+00 	 22.409054 
+3.47837205E-04 	 -3.43632280E-04 	+7.89706636E-06 	 -7.37087024E-06 	+1.15862852E+00 	 22.661314 
+3.47342765E-04 	 -3.43125669E-04 	+7.96364322E-06 	 -7.34211934E-06 	+1.15317747E+00 	 22.909111 
+3.46832024E-04 	 -3.42638968E-04 	+8.05031248E-06 	 -7.37157445E-06 	+1.14796535E+00 	 23.149490 
+3.46334882E-04 	 -3.42189891E-04 	+8.05464010E-06 	 -7.36333200E-06 	+1.14316941E+00 	 23.383292 
+3.45839464E-04 	 -3.41688037E-04 	+8.12281928E-06 	 -7.34352504E-06 	+1.13887288E+00 	 23.615926 
+3.45371310E-04 	 -3.41176344E-04 	+8.18466138E-06 	 -7.35237446E-06 	+1.13509887E+00 	 23.853064 
+3.44883961E-04 	 -3.40734090E-04 	+8.20386446E-06 	 -7.37318695E-06 	+1.13184146E+00 	 24.097019 
+3.44369133E-04 	 -3.40323591E-04 	+8.17742785E-06 	 -7.43935942E-06 	+1.12908631E+00 	 24.344520 
+3.43944520E-04 	 -3.39852124E-04 	+8.17852713E-06 	 -7.45524159E-06 	+1.12678695E+00 	 24.565627 
+3.43458745E-04 	 -3.39369267E-04 	+8.17993560E-06 	 -7.49848067E-06 	+1.12486608E+00 	 24.805284 
+3.42999614E-04 	 -3.38958907E-04 	+8.18375626E-06 	 -7.51688182E-06 	+1.12323638E+00 	 25.046640 
+3.42610450E-04 	 -3.38520976E-04 	+8.23624300E-06 	 -7.47535035E-06 	+1.12182942E+00 	 25.286496 
+3.42197488E-04 	 -3.38043058E-04 	+8.23222126E-06 	 -7.48369790E-06 	+1.12059146E+00 	 25.523484 
+3.41727702E-04 	 -3.37660189E-04 	+8.29366411E-06 	 -7.52643549E-06 	+1.11948436E+00 	 25.756973 
+3.41342277E-04 	 -3.37205046E-04 	+8.28842915E-06 	 -7.50913520E-06 	+1.11848105E+00 	 25.986685 
+3.40812818E-04 	 -3.36796555E-04 	+8.24297994E-06 	 -7.57580425E-06 	+1.11755998E+00 	 26.213016 
+3.40434232E-04 	 -3.36341247E-04 	+8.29426457E-06 	 -7.52874594E-06 	+1.11670412E+00 	 26.436721 
+3.40105241E-04 	 -3.35901547E-04 	+8.40889378E-06 	 -7.44799781E-06 	+1.11590459E+00 	 26.657417 
+3.39669079E-04 	 -3.35497263E-04 	+8.39270298E-06 	 -7.48731353E-06 	+1.11514928E+00 	 26.876306 
+3.39304342E-04 	 -3.35118950E-04 	+8.44056831E-06 	 -7.46690186E-06 	+1.11443285E+00 	 27.093232 
+3.38946869E-04 	 -3.34704566E-04 	+8.46430011E-06 	 -7.47203079E-06 	+1.11374820E+00 	 27.308950 
+3.38575098E-04 	 -3.34291866E-04 	+8.55641600E-06 	 -7.44166909E-06 	+1.11309370E+00 	 27.522790 
+3.38146279E-04 	 -3.33941687E-04 	+8.52925672E-06 	 -7.43371801E-06 	+1.11246222E+00 	 27.736099 
+3.37749544E-04 	 -3.33539041E-04 	+8.51326779E-06 	 -7.43361692E-06 	+1.11185395E+00 	 27.947980 
+3.37406935E-04 	 -3.33183636E-04 	+8.52333568E-06 	 -7.39601900E-06 	+1.11126579E+00 	 28.158757 
+3.37007865E-04 	 -3.32801559E-04 	+8.54314861E-06 	 -7.37158693E-06 	+1.11069564E+00 	 28.368538 
+3.36646205E-04 	 -3.32437285E-04 	+8.55752308E-06 	 -7.38425308E-06 	+1.11014151E+00 	 28.577490 
+3.36269131E-04 	 -3.32088577E-04 	+8.53328193E-06 	 -7.41069332E-06 	+1.10960486E+00 	 28.784531 
+3.35867509E-04 	 -3.31708573E-04 	+8.50372400E-06 	 -7.43362382E-06 	+1.10908028E+00 	 28.991286 
+3.35445873E-04 	 -3.31420175E-04 	+8.49497279E-06 	 -7.46067328E-06 	+1.10856845E+00 	 29.197104 
+3.35132068E-04 	 -3.31020096E-04 	+8.51256795E-06 	 -7.42426846E-06 	+1.10806930E+00 	 29.401636 
+3.34709961E-04 	 -3.30714730E-04 	+8.51126673E-06 	 -7.45202619E-06 	+1.10758142E+00 	 29.605117 
+3.34407515E-04 	 -3.30393081E-04 	+8.56526272E-06 	 -7.37942410E-06 	+1.10710425E+00 	 29.807470 
+3.34067281E-04 	 -3.30086044E-04 	+8.49245969E-06 	 -7.42185726E-06 	+1.10663704E+00 	 30.008732 
+3.33736706E-04 	 -3.29798795E-04 	+8.49175954E-06 	 -7.43191562E-06 	+1.10617887E+00 	 30.209045 
+3.33327943E-04 	 -3.29349813E-04 	+8.49256109E-06 	 -7.39963533E-06 	+1.10561919E+00 	 30.457599 
+3.32901771E-04 	 -3.28943356E-04 	+8.53991381E-06 	 -7.44145937E-06 	+1.10507201E+00 	 30.704598 
+3.32484283E-04 	 -3.28559654E-04 	+8.59854051E-06 	 -7.51768222E-06 	+1.10453656E+00 	 30.950015 
+3.32094317E-04 	 -3.28247216E-04 	+8.54645539E-06 	 -7.60365828E-06 	+1.10401304E+00 	 31.193411 
+3.31667749E-04 	 -3.27877970E-04 	+8.57389830E-06 	 -7.48268438E-06 	+1.10349940E+00 	 31.435425 
+3.31313737E-04 	 -3.27547584E-04 	+8.46631382E-06 	 -7.46690454E-06 	+1.10299502E+00 	 31.676075 
+3.31018970E-04 	 -3.27168454E-04 	+8.52101465E-06 	 -7.44226781E-06 	+1.10250010E+00 	 31.915010 
+3.30606031E-04 	 -3.26753864E-04 	+8.58698145E-06 	 -7.45162148E-06 	+1.10201463E+00 	 32.151988 
+3.30251382E-04 	 -3.26378308E-04 	+8.63061996E-06 	 -7.45302744E-06 	+1.10153686E+00 	 32.387647 
+3.29932952E-04 	 -3.26025122E-04 	+8.70855184E-06 	 -7.45011268E-06 	+1.10106652E+00 	 32.621925 
+3.29604336E-04 	 -3.25653066E-04 	+8.74425162E-06 	 -7.39571466E-06 	+1.10060405E+00 	 32.854418 
+3.29299967E-04 	 -3.25298626E-04 	+8.77802995E-06 	 -7.39047973E-06 	+1.10014726E+00 	 33.086064 
+3.28929133E-04 	 -3.24978070E-04 	+8.73006559E-06 	 -7.40093767E-06 	+1.09969787E+00 	 33.315836 
+3.28605349E-04 	 -3.24605519E-04 	+8.78044372E-06 	 -7.42446753E-06 	+1.09925419E+00 	 33.544453 
+3.28283273E-04 	 -3.24270766E-04 	+8.77764239E-06 	 -7.37229024E-06 	+1.09881696E+00 	 33.771400 
+3.27899823E-04 	 -3.23951272E-04 	+8.82399158E-06 	 -7.40707720E-06 	+1.09838530E+00 	 33.997008 
+3.27564461E-04 	 -3.23633593E-04 	+9.25767558E-06 	 -6.97317707E-06 	+1.09795840E+00 	 34.221589 
+3.27242988E-04 	 -3.23330235E-04 	+9.64411185E-06 	 -6.59660228E-06 	+1.09753684E+00 	 34.444733 
+3.26909123E-04 	 -3.22999628E-04 	+9.75250746E-06 	 -6.45823755E-06 	+1.09712012E+00 	 34.666604 
+3.26612280E-04 	 -3.22692723E-04 	+9.72717360E-06 	 -6.34340762E-06 	+1.09670804E+00 	 34.887217 
+3.26313593E-04 	 -3.22364747E-04 	+9.94206399E-06 	 -6.51374974E-06 	+1.09630092E+00 	 35.106311 
+3.25995208E-04 	 -3.22126811E-04 	+9.91219185E-06 	 -6.52158878E-06 	+1.09589778E+00 	 35.324332 
+3.25668131E-04 	 -3.21843375E-04 	+9.91892994E-06 	 -6.52943256E-06 	+1.09549829E+00 	 35.541387 
+3.25363193E-04 	 -3.21595654E-04 	+9.95412241E-06 	 -6.47392538E-06 	+1.09510282E+00 	 35.757206 
+3.25087929E-04 	 -3.21269007E-04 	+9.90455057E-06 	 -6.49313233E-06 	+1.09471077E+00 	 35.972049 
+3.24804026E-04 	 -3.20938753E-04 	+9.85486888E-06 	 -6.29131493E-06 	+1.09432368E+00 	 36.185008 
+3.24509487E-04 	 -3.20645521E-04 	+9.89107143E-06 	 -6.30820965E-06 	+1.09393992E+00 	 36.396917 
+3.24231005E-04 	 -3.20321883E-04 	+9.89651601E-06 	 -6.26206322E-06 	+1.09355784E+00 	 36.608639 
+3.23972985E-04 	 -3.20023240E-04 	+9.86846127E-06 	 -6.25572834E-06 	+1.09318066E+00 	 36.818338 
+3.23782848E-04 	 -3.19738486E-04 	+9.94658327E-06 	 -6.26004705E-06 	+1.09280627E+00 	 37.027134 
+3.23502685E-04 	 -3.19461239E-04 	+9.96307699E-06 	 -6.24949030E-06 	+1.09243466E+00 	 37.234990 
+3.23157979E-04 	 -3.19276721E-04 	+9.90324019E-06 	 -6.30509336E-06 	+1.09206641E+00 	 37.441538 
+3.22903359E-04 	 -3.18963675E-04 	+9.86835680E-06 	 -6.33425939E-06 	+1.09170062E+00 	 37.647241 
+3.22597992E-04 	 -3.18686971E-04 	+9.83637126E-06 	 -6.34079032E-06 	+1.09133720E+00 	 37.852114 
